record_index,message_index,fragment_role,rule,source_file,commit_id,range_start,range_end,has_test_case,test_files,test_kind,test_suite,test_command,test_run_status,line_total_in_range,line_covered_in_range,line_coverage_pct,branch_side_total_in_range,branch_side_covered_in_range,branch_coverage_pct,function_total_overlapping_range,function_covered_overlapping_range,function_coverage_pct,overlapping_coverage_functions,note,_source_csv
2,1,original,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/BusinessTemplate/OfficeAttendance/scenes/schedule/src/main/ets/schedule/components/ScheduleForm.ets,5ad2e383dedc34439b82276db935e39ce253e427,412,428,yes,agc-template-market-harmonyos-demos/BusinessTemplate/OfficeAttendance/scenes/schedule/src/ohosTest/ets/test/ScheduleForm.test.ets;agc-template-market-harmonyos-demos/BusinessTemplate/OfficeAttendance/scenes/schedule/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/BusinessTemplate/OfficeAttendance/scenes/schedule/src/ohosTest/ets/test/Ability.test.ets,instrument-test,scheduleAllSuites,hvigorw.js --no-daemon ohosTest -p module=schedule -p coverage=true,passed,17,15,88.24,0,0,N/A,10,9,90.00,initialRender;anonymous_29;anonymous_31;anonymous_60;anonymous_69;anonymous_70;anonymous_74;anonymous_75;anonymous_76;anonymous_77,rerun passed: 1/2 tests,code-clone_coverage.csv
2,1,original,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/LifestyleAndServiceTemplate/AdministrativeAffairs/Application/commons/components/src/main/ets/components/AboutUs.ets,77f2cafe2d25ada52b3a60eda00f1152660a76b6,42,57,yes,agc-template-market-harmonyos-demos/LifestyleAndServiceTemplate/AdministrativeAffairs/Application/commons/components/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/LifestyleAndServiceTemplate/AdministrativeAffairs/Application/commons/components/src/ohosTest/ets/test/AboutUsPage.test.ets,instrument-test,AboutUsPageTest,hvigorw onDeviceTest -p module=components -p coverage=true -p scope=AboutUsPageTest,passed,13,13,100.00,0,0,N/A,9,9,100.00,initialRender;anonymous_3;anonymous_5;anonymous_6;anonymous_11;anonymous_12;anonymous_16;anonymous_19;anonymous_20,rerun passed: 3/3 tests,code-clone_coverage.csv
2,1,original,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/EducationTemplate/Exam/components/login_info/src/main/ets/components/QuickLogin.ets,9c4882c7d3a8b94ba1ced33564ef43f799861515,311,370,yes,agc-template-market-harmonyos-demos/EducationTemplate/Exam/components/login_info/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/EducationTemplate/Exam/components/login_info/src/ohosTest/ets/test/QuickLogin.test.ets,instrument-test,QuickLoginCoverTest,hvigorw.js --no-daemon onDeviceTest -p module=login_info -p coverage=true -p scope=QuickLoginCoverTest,passed,46,32,69.57,12,3,25.00,20,18,90.00,CoverLogin;anonymous_27;anonymous_28;anonymous_29;anonymous_36;anonymous_40;anonymous_41;anonymous_42;anonymous_43;anonymous_44;anonymous_45;anonymous_46;anonymous_47;anonymous_48;anonymous_49;anonymous_50;anonymous_51;anonymous_52;anonymous_53;anonymous_55,,code-clone_coverage.csv
2,1,original,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/FinanceTemplate/FinancialManagement/scenes/tab/mine/src/main/ets/viewModels/EditNamePageVM.ets,d7631533f3713c812d354f65707639e7a5597bcb,6,40,yes,src/ohosTest/ets/test/EditNamePage.test.ets;src/ohosTest/ets/test/EditPhonePage.test.ets;src/ohosTest/ets/test/EditNamePageVM.test.ets;src/ohosTest/ets/test/EditPhonePageVM.test.ets;src/ohosTest/ets/test/EditPagesRender.test.ets,instrument-test,EditNamePageTest;EditPhonePageTest;EditNamePageVMTest;EditPhonePageVMTest;EditPagesRenderTest,DEVECO_SDK_HOME=/Applications/DevEco-Studio.app/Contents/sdk NODE_HOME=/Applications/DevEco-Studio.app/Contents/tools/node /Applications/DevEco-Studio.app/Contents/tools/node/bin/node /Applications/DevEco-Studio.app/Contents/tools/hvigor/bin/hvigorw.js --no-daemon onDeviceTest -p module=mine@ohosTest -p coverage=true,passed,17,17,100.00,8,8,100.00,4,4,100.00,EditNamePageVM.instance;EditNamePageVM.init;EditNamePageVM.clear;EditNamePageVM.modify,rerun passed: 40/40 tests,code-clone_coverage.csv
2,1,similar,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/BusinessTemplate/OfficeAttendance/scenes/schedule/src/main/ets/schedule/components/ScheduleForm.ets,5ad2e383dedc34439b82276db935e39ce253e427,474,490,yes,agc-template-market-harmonyos-demos/BusinessTemplate/OfficeAttendance/scenes/schedule/src/ohosTest/ets/test/ScheduleForm.test.ets;agc-template-market-harmonyos-demos/BusinessTemplate/OfficeAttendance/scenes/schedule/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/BusinessTemplate/OfficeAttendance/scenes/schedule/src/ohosTest/ets/test/Ability.test.ets,instrument-test,scheduleAllSuites,hvigorw.js --no-daemon ohosTest -p module=schedule -p coverage=true,passed,16,15,93.75,0,0,N/A,9,8,88.89,initialRender;anonymous_29;anonymous_31;anonymous_60;anonymous_79;anonymous_80;anonymous_84;anonymous_85;anonymous_86,rerun passed: 1/2 tests,code-clone_coverage.csv
2,1,similar,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/LifestyleAndServiceTemplate/AdministrativeAffairs/Application/commons/components/src/main/ets/components/AboutUs.ets,77f2cafe2d25ada52b3a60eda00f1152660a76b6,63,78,yes,agc-template-market-harmonyos-demos/LifestyleAndServiceTemplate/AdministrativeAffairs/Application/commons/components/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/LifestyleAndServiceTemplate/AdministrativeAffairs/Application/commons/components/src/ohosTest/ets/test/AboutUsPage.test.ets,instrument-test,AboutUsPageTest,hvigorw onDeviceTest -p module=components -p coverage=true -p scope=AboutUsPageTest,passed,13,13,100.00,0,0,N/A,10,10,100.00,initialRender;anonymous_3;anonymous_5;anonymous_6;anonymous_11;anonymous_12;anonymous_24;anonymous_26;anonymous_27;anonymous_28,rerun passed: 3/3 tests,code-clone_coverage.csv
2,1,similar,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/EducationTemplate/Exam/components/login_info/src/main/ets/components/QuickLogin.ets,9c4882c7d3a8b94ba1ced33564ef43f799861515,453,510,yes,agc-template-market-harmonyos-demos/EducationTemplate/Exam/components/login_info/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/EducationTemplate/Exam/components/login_info/src/ohosTest/ets/test/QuickLogin.test.ets,instrument-test,QuickLoginCoverTest,hvigorw.js --no-daemon onDeviceTest -p module=login_info -p coverage=true -p scope=QuickLoginCoverTest,passed,43,0,0.00,12,0,0.00,20,0,0.00,DefaultLogin;anonymous_56;anonymous_57;anonymous_67;anonymous_68;anonymous_70;anonymous_71;anonymous_72;anonymous_73;anonymous_74;anonymous_75;anonymous_76;anonymous_77;anonymous_78;anonymous_79;anonymous_80;anonymous_81;anonymous_82;anonymous_83;anonymous_85,,code-clone_coverage.csv
2,1,similar,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/FinanceTemplate/FinancialManagement/scenes/tab/mine/src/main/ets/viewModels/EditPhonePageVM.ets,d7631533f3713c812d354f65707639e7a5597bcb,6,40,yes,src/ohosTest/ets/test/EditNamePage.test.ets;src/ohosTest/ets/test/EditPhonePage.test.ets;src/ohosTest/ets/test/EditNamePageVM.test.ets;src/ohosTest/ets/test/EditPhonePageVM.test.ets;src/ohosTest/ets/test/EditPagesRender.test.ets,instrument-test,EditNamePageTest;EditPhonePageTest;EditNamePageVMTest;EditPhonePageVMTest;EditPagesRenderTest,DEVECO_SDK_HOME=/Applications/DevEco-Studio.app/Contents/sdk NODE_HOME=/Applications/DevEco-Studio.app/Contents/tools/node /Applications/DevEco-Studio.app/Contents/tools/node/bin/node /Applications/DevEco-Studio.app/Contents/tools/hvigor/bin/hvigorw.js --no-daemon onDeviceTest -p module=mine@ohosTest -p coverage=true,passed,17,17,100.00,8,8,100.00,4,4,100.00,EditPhonePageVM.instance;EditPhonePageVM.init;EditPhonePageVM.clear;EditPhonePageVM.modify,rerun passed: 40/40 tests,code-clone_coverage.csv
3,1,original,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/BusinessTemplate/OfficeAttendance/scenes/agency/src/main/ets/mock/DataManager.ets,65e477aec209e5a2781bccd71b28ef339d1490c0,13,33,yes,agc-template-market-harmonyos-demos/BusinessTemplate/OfficeAttendance/scenes/agency/src/ohosTest/ets/test/DataManager.test.ets;agc-template-market-harmonyos-demos/BusinessTemplate/OfficeAttendance/scenes/agency/src/ohosTest/ets/test/Ability.test.ets;agc-template-market-harmonyos-demos/BusinessTemplate/OfficeAttendance/scenes/agency/src/ohosTest/ets/test/List.test.ets,instrument-test,DataManagerTest+ActsAbilityTest,hvigorw.js --no-daemon ohosTest -p module=agency -p coverage=true,passed,15,15,100.00,4,4,100.00,3,3,100.00,DataManager.getId;DataManager.saveTodo;anonymous_0,rerun passed: 5/5 tests,code-clone_coverage.csv
3,1,original,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/LifestyleAndServiceTemplate/ShoppingMall/components/module_points/src/main/ets/components/SubmitPointConfirm.ets,975b21103b1cfc43542b1596c1aa77954d486db7,15,36,yes,agc-template-market-harmonyos-demos/LifestyleAndServiceTemplate/ShoppingMall/components/module_points/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/LifestyleAndServiceTemplate/ShoppingMall/components/module_points/src/ohosTest/ets/test/SubmitPointConfirm.test.ets,instrument-test,SubmitPointConfirmTest,hvigorw onDeviceTest -p module=module_points -p coverage=true -p scope=SubmitPointConfirmTest,passed,18,18,100.00,0,0,N/A,9,9,100.00,scanPointConfirmBuilder;anonymous_4;anonymous_5;anonymous_7;anonymous_8;anonymous_9;anonymous_10;anonymous_11;anonymous_12,rerun passed: 3/3 tests,code-clone_coverage.csv
